gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group D,some college,standard,none,83,93,90
female,group C,associate's degree,free/reduced,none,68,67,68
male,group D,some high school,standard,completed,69,63,60
male,group C,high school,standard,completed,52,57,56
male,group D,some high school,standard,none,52,53,50
female,group C,associate's degree,free/reduced,completed,56,72,73
female,group B,some college,standard,completed,20,33,32
male,group D,some high school,standard,none,68,60,54
male,group C,some high school,standard,completed,69,62,68
male,group C,high school,standard,none,63,72,65
male,group B,high school,free/reduced,completed,75,82,80
female,group D,bachelor's degree,standard,none,78,100,96
female,group E,bachelor's degree,standard,none,82,74,77
male,group B,associate's degree,free/reduced,none,59,54,40
male,group C,high school,free/reduced,completed,46,51,45
female,group D,bachelor's degree,free/reduced,completed,68,78,88
male,group E,high school,free/reduced,completed,68,54,56
female,group D,some high school,free/reduced,none,27,40,45
male,group D,some college,standard,none,61,54,51
female,group C,some college,standard,none,32,36,33
