gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,high school,free/reduced,none,51,46,41
female,group C,some high school,standard,none,71,79,80
female,group E,bachelor's degree,standard,completed,100,100,100
female,group E,associate's degree,standard,none,54,58,56
female,group C,high school,standard,none,77,81,83
female,group D,associate's degree,standard,none,75,88,84
male,group D,some high school,free/reduced,none,67,67,66
male,group C,some college,free/reduced,none,81,74,73
female,group E,some college,free/reduced,none,61,69,70
male,group C,master's degree,free/reduced,completed,87,81,86
male,group C,high school,standard,completed,65,74,63
female,group A,associate's degree,free/reduced,completed,37,58,54
female,group B,some college,standard,completed,86,92,90
male,group C,some high school,free/reduced,none,44,55,48
male,group C,master's degree,standard,none,68,68,65
male,group B,some college,standard,none,82,81,72
male,group B,some college,standard,none,39,43,31
female,group D,high school,standard,completed,82,85,91
female,group D,associate's degree,free/reduced,none,53,76,67
female,group E,some college,free/reduced,completed,63,67,64
male,group E,high school,standard,none,63,54,51
female,group E,high school,free/reduced,none,56,68,66
female,group E,associate's degree,standard,completed,66,79,80
female,group D,some college,free/reduced,none,39,58,54
female,group B,high school,standard,completed,84,86,92
female,group B,bachelor's degree,free/reduced,none,52,76,71
male,group D,some high school,standard,none,82,79,74
female,group B,high school,standard,none,75,75,75
male,group B,bachelor's degree,free/reduced,completed,68,65,70
female,group D,high school,free/reduced,none,66,83,78
female,group D,bachelor's degree,free/reduced,none,49,75,73
male,group B,associate's degree,standard,none,59,60,56
female,group A,some high school,free/reduced,completed,67,77,73
female,group C,associate's degree,free/reduced,none,56,73,71
female,group B,associate's degree,standard,none,70,88,84
male,group E,associate's degree,free/reduced,none,63,71,61
male,group C,some college,standard,none,52,53,50
male,group C,some college,free/reduced,none,55,57,50
female,group D,some college,standard,none,64,81,79
female,group C,some college,standard,completed,52,78,71
female,group D,master's degree,standard,none,93,100,100
female,group C,some high school,standard,none,83,91,85
female,group C,some high school,standard,none,51,62,53
male,group C,some college,standard,none,68,72,67
male,group C,associate's degree,free/reduced,none,66,60,55
female,group D,associate's degree,free/reduced,none,69,78,78
male,group E,some high school,standard,none,100,85,84
male,group E,high school,standard,none,100,87,84
male,group D,associate's degree,standard,none,69,67,71
male,group B,some high school,standard,none,39,32,35
female,group C,some college,standard,completed,71,84,85
female,group C,high school,standard,completed,60,77,78
male,group D,some high school,free/reduced,none,56,64,56
male,group E,some college,standard,completed,88,78,75
female,group C,some college,free/reduced,completed,63,77,81
female,group C,some high school,free/reduced,none,25,44,36
female,group B,high school,free/reduced,none,48,52,50
male,group D,some college,standard,completed,99,99,100
female,group C,some high school,free/reduced,none,69,80,75
male,group D,master's degree,free/reduced,none,54,47,52
female,group E,some college,standard,none,88,86,80
female,group C,high school,standard,none,83,86,89
female,group C,high school,standard,completed,60,61,64
male,group D,some high school,standard,none,77,76,77
male,group C,bachelor's degree,standard,completed,74,73,76
female,group A,some college,standard,completed,79,83,84
male,group E,some high school,standard,none,50,46,40
female,group D,master's degree,standard,none,58,62,63
female,group D,some college,standard,none,59,72,76
female,group B,some high school,free/reduced,none,39,54,51
female,group D,high school,standard,none,72,76,73
male,group E,high school,free/reduced,none,54,53,45
male,group D,high school,standard,none,76,74,79
male,group D,bachelor's degree,standard,none,72,59,56
male,group B,some high school,standard,none,67,63,59
male,group E,associate's degree,standard,completed,95,93,91
male,group D,bachelor's degree,free/reduced,none,65,51,50
male,group D,some high school,standard,none,64,52,53
male,group C,some college,free/reduced,none,56,53,54
female,group E,associate's degree,standard,none,63,58,55
male,group E,bachelor's degree,free/reduced,none,60,46,51
female,group C,some college,standard,none,73,81,82
female,group B,some college,free/reduced,none,63,64,69
female,group E,high school,standard,none,81,74,73
female,group E,associate's degree,standard,completed,65,73,76
male,group C,high school,standard,completed,82,90,86
female,group C,high school,free/reduced,completed,53,66,67
male,group E,some high school,standard,completed,77,67,67
female,group B,some high school,free/reduced,completed,39,62,69
female,group C,associate's degree,standard,none,76,80,81
female,group B,some college,standard,completed,69,80,80
female,group D,some high school,free/reduced,completed,48,58,64
male,group B,associate's degree,standard,completed,85,96,90
male,group C,master's degree,standard,none,71,68,57
male,group E,high school,standard,none,83,78,72
female,group C,high school,standard,none,56,76,72
female,group D,some college,free/reduced,completed,47,65,74
male,group B,some high school,standard,none,77,74,65
male,group D,some high school,standard,none,70,63,70
female,group B,some high school,standard,none,43,50,48
female,group C,associate's degree,free/reduced,none,77,88,81
female,group C,some college,free/reduced,none,42,50,52
male,group D,high school,free/reduced,completed,56,57,58
female,group D,some high school,standard,completed,57,62,68
female,group A,bachelor's degree,free/reduced,none,69,79,78
male,group D,some college,standard,completed,72,68,67
male,group D,associate's degree,free/reduced,none,57,58,56
male,group D,some college,free/reduced,completed,62,58,61
female,group C,some high school,standard,completed,58,75,76
female,group C,some high school,standard,none,53,49,51
female,group E,some college,standard,none,87,89,87
male,group C,high school,standard,completed,92,97,92
female,group B,high school,standard,completed,78,82,90
male,group C,high school,standard,completed,71,67,68
male,group C,some college,standard,completed,85,82,79
male,group C,some high school,standard,none,79,65,64
female,group C,some college,standard,completed,87,96,100
male,group A,some college,standard,completed,84,84,83
male,group D,high school,free/reduced,completed,81,71,79
male,group E,some high school,free/reduced,completed,73,72,77
male,group B,bachelor's degree,free/reduced,none,61,61,59
female,group C,high school,free/reduced,completed,67,79,75
male,group C,some college,free/reduced,completed,23,23,23
male,group A,high school,standard,none,82,80,80
female,group C,bachelor's degree,standard,none,68,86,80
male,group C,master's degree,free/reduced,none,32,34,27
female,group C,high school,free/reduced,none,60,74,74
female,group C,associate's degree,standard,completed,73,77,83
male,group C,bachelor's degree,standard,none,64,65,61
female,group A,master's degree,standard,none,69,73,79
female,group C,some high school,standard,none,70,70,67
male,group E,some college,standard,completed,100,95,93
male,group D,some high school,standard,none,55,42,43
male,group B,some college,standard,none,49,43,38
female,group C,some high school,standard,none,42,47,44
female,group B,master's degree,standard,none,70,80,86
male,group B,some high school,standard,completed,67,65,65
male,group E,some college,free/reduced,none,62,59,54
female,group C,some high school,standard,none,76,73,82
male,group C,high school,standard,none,55,59,47
female,group C,master's degree,standard,none,51,66,60
male,group E,bachelor's degree,free/reduced,none,80,78,77
male,group B,associate's degree,free/reduced,completed,58,50,58
female,group C,high school,free/reduced,none,41,48,46
male,group C,high school,free/reduced,none,50,52,46
male,group C,some college,standard,none,89,78,68
male,group D,associate's degree,standard,completed,89,86,81
female,group D,some college,standard,none,57,61,62
male,group C,high school,standard,none,88,75,77
male,group B,some college,free/reduced,none,73,65,61
female,group E,some college,free/reduced,completed,69,77,83
female,group B,some college,standard,none,80,87,74
female,group E,some college,standard,completed,74,78,75
female,group C,associate's degree,free/reduced,completed,38,56,60
male,group E,some high school,standard,none,80,75,70
female,group B,high school,standard,completed,58,68,62
male,group B,high school,free/reduced,none,46,39,30
female,group A,bachelor's degree,standard,none,74,83,78
female,group B,some high school,free/reduced,none,47,54,50
male,group A,high school,free/reduced,none,73,74,71
female,group B,some high school,standard,none,39,65,55
male,group E,bachelor's degree,free/reduced,completed,28,43,44
female,group B,master's degree,free/reduced,none,77,86,85
female,group C,associate's degree,standard,none,84,94,96
female,group B,some college,free/reduced,none,35,42,41
male,group C,high school,standard,none,74,76,71
female,group D,some college,standard,none,76,71,83
female,group E,some college,standard,none,88,98,91
male,group A,associate's degree,standard,none,79,78,77
female,group E,associate's degree,standard,none,81,85,76
female,group C,some college,free/reduced,none,48,52,47
female,group D,associate's degree,standard,none,72,81,86
male,group B,some college,standard,none,93,81,77
female,group B,some college,standard,completed,84,95,97
female,group D,some college,standard,none,75,78,80
male,group C,some college,standard,none,57,56,55
female,group A,some college,standard,none,42,48,45
male,group D,some college,standard,none,75,77,78
male,group B,associate's degree,free/reduced,completed,56,68,66
male,group B,some college,standard,completed,94,100,96
male,group B,master's degree,standard,none,62,59,53
male,group D,some college,standard,none,54,61,56
female,group D,master's degree,free/reduced,none,50,72,69
male,group C,associate's degree,standard,none,78,77,72
