gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,associate's degree,standard,completed,78,79,88
male,group A,associate's degree,free/reduced,none,77,72,74
male,group C,bachelor's degree,standard,none,68,70,68
female,group B,some high school,free/reduced,completed,42,43,54
female,group A,bachelor's degree,standard,none,69,77,78
male,group C,some high school,free/reduced,none,51,57,51
female,group A,bachelor's degree,free/reduced,none,46,59,62
female,group C,some high school,standard,completed,48,67,68
male,group D,bachelor's degree,free/reduced,none,71,72,73
male,group E,some college,free/reduced,completed,86,87,84
male,group C,associate's degree,standard,none,57,60,53
male,group C,some high school,standard,completed,69,66,65
female,group B,some high school,standard,none,56,66,66
female,group D,some high school,free/reduced,completed,36,44,43
female,group B,associate's degree,standard,none,59,68,60
male,group E,some high school,free/reduced,none,41,42,36
female,group E,some high school,standard,none,70,69,68
female,group C,high school,free/reduced,completed,43,56,53
female,group C,associate's degree,standard,none,84,88,86
female,group C,high school,free/reduced,none,36,47,39
male,group E,bachelor's degree,standard,completed,84,78,77
female,group C,bachelor's degree,free/reduced,none,58,69,71
female,group D,master's degree,standard,none,79,84,95
female,group A,bachelor's degree,standard,none,54,64,64
female,group D,master's degree,standard,completed,70,73,84
male,group B,associate's degree,standard,completed,78,83,85
female,group E,bachelor's degree,free/reduced,none,88,96,87
female,group D,some high school,standard,completed,72,79,89
female,group D,high school,free/reduced,none,62,63,62
female,group E,high school,standard,none,69,86,77
female,group B,master's degree,free/reduced,completed,47,66,63
male,group C,associate's degree,standard,completed,83,82,80
male,group B,some high school,standard,completed,74,70,71
male,group D,high school,standard,completed,98,94,93
female,group B,high school,standard,none,81,84,75
female,group D,bachelor's degree,standard,completed,68,80,84
male,group D,high school,standard,none,91,87,85
female,group B,high school,standard,completed,73,75,73
male,group D,some high school,free/reduced,completed,57,48,49
male,group D,some college,standard,none,71,58,58
male,group B,associate's degree,standard,completed,89,88,88
female,group C,some college,standard,completed,72,77,75
female,group C,high school,standard,none,66,76,68
female,group D,high school,standard,none,62,70,71
male,group C,bachelor's degree,standard,none,65,53,51
male,group C,some college,standard,none,80,74,64
male,group C,bachelor's degree,standard,completed,52,60,57
male,group B,some college,standard,none,88,86,84
female,group B,high school,free/reduced,completed,61,85,79
female,group C,associate's degree,free/reduced,completed,82,95,95
