gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group E,some high school,free/reduced,completed,63,77,73
female,group C,some college,standard,none,57,72,75
female,group D,some college,standard,none,56,53,58
female,group D,associate's degree,free/reduced,none,56,65,65
male,group D,bachelor's degree,standard,none,76,72,79
female,group B,associate's degree,standard,completed,82,89,97
male,group D,some college,free/reduced,completed,60,65,65
female,group C,high school,standard,none,65,83,72
female,group D,some high school,standard,completed,56,65,69
female,group B,high school,free/reduced,none,66,74,68
male,group C,some college,standard,none,69,58,54
male,group C,high school,free/reduced,completed,64,67,66
female,group D,associate's degree,free/reduced,none,54,64,68
male,group A,associate's degree,standard,completed,56,41,42
male,group C,high school,standard,completed,52,57,56
female,group A,high school,standard,completed,64,83,85
female,group B,master's degree,standard,none,74,78,79
male,group C,high school,free/reduced,none,46,45,37
female,group C,high school,standard,none,74,91,87
female,group A,master's degree,standard,completed,74,91,92
